mfg,loc,cap,oem,cat,reg,lat,lon
Zetwerk Mfg,"Chennai [IN]","220 kV / 100 MVA",International,Transformer,International,13.08,80.27
Ayr Partner (Voltamp),"Savli [IN]","220 kV / 100 MVA",International,Transformer,International,22.54,73.23
TBEA,"Shenyang [CHN]","1200 kV / Ultra HV",International,Transformer,International,41.80,123.43
JSHP Transformer,"Changzhou [CHN]","500 kV / 500 MVA",International,Transformer,International,31.78,119.96
Toshiba,"Hamakita [JPN]","800 kV / GIS",Global,Breaker,International,34.71,137.73
Hitachi Energy,"Ludvika [SWE]","1100 kV / HVDC",Global,Transformer,International,60.14,15.18
Siemens Energy,"Nuremberg [GER]","800 kV / EHV Power",Global,Transformer,International,49.45,11.07
Schneider Electric,"Grenoble [FRA]","145 kV / GIS",Global,Breaker,International,45.18,5.72
ABB,"Bad Honnef [GER]","400 kV / 500 MVA",Global,Transformer,International,50.64,7.22
Iljin Electric,"Hwaseong [KOR]","550 kV / GIS",International,Breaker,International,37.19,126.83
LS Electric,"Cheonan [KOR]","800 kV / GIS",International,Breaker,International,36.81,127.11
Siemens Energy,"Jinan [CHN]","500 kV / 300 MVA",Global,Transformer,International,36.65,117.00
Hitachi Energy,"Belo Horizonte [BRA]","500 kV / Power",Global,Transformer,International,-19.91,-43.93
GE Vernova,"Sesto S. G. [ITA]","420 kV / GIS",Global,Breaker,International,45.53,9.22
Mitsubishi Electric,"Ako [JPN]","500 kV / Power",Global,Transformer,International,34.75,134.39
Siemens Energy,"Weiz [AUT]","400 kV / Power",Global,Transformer,International,47.21,15.62
Ayr Partner,"Pune [IN]","220 kV / Dist.",International,Transformer,International,18.52,73.85
Ayr Partner,"Kolkata [IN]","132 kV / Power",International,Transformer,International,22.57,88.36
Ayr Partner,"Bangalore [IN]","400 kV / GIS",International,Breaker,International,12.97,77.59
Hitachi Energy,"Hanoi [VNM]","220 kV / Power",Global,Transformer,International,21.02,105.83
Siemens Energy,"Bogota [COL]","220 kV / Power",Global,Transformer,International,4.71,-74.07
ABB,"Cordoba [ARG]","132 kV / Power",Global,Transformer,International,-31.42,-64.18
WEG,"Jaraguá [BRA]","500 kV / 500 MVA",Regional,Transformer,International,-26.48,-49.07
Delta Star,"Auburn, IN [USA]","138 kV / Power",Regional,Transformer,North America,41.36,-85.05
Virginia Transformer,"Monterrey [MEX]","525 kV / 300 MVA",Regional,Transformer,North America,25.72,-100.32
Eaton,"Greenwood, SC [USA]","38 kV / Switchgear",Global,Breaker,North America,34.19,-82.16
Eaton,"Waukesha, WI [USA]","35 kV / Dist.",Global,Transformer,North America,43.01,-88.23
Schneider Electric,"Hopkinsville, KY","MV / Switchgear",Global,Breaker,North America,36.86,-87.48
Powell Industries,"Houston, TX [USA]","38 kV / Switchgear",Regional,Breaker,North America,29.76,-95.36
Myers Power,"Ontario, CA [USA]","MV / Switchgear",Regional,Breaker,North America,34.06,-117.65
Tavrida Electric,"Tallinn [EST]","38 kV / Recloser",International,Breaker,International,59.43,24.75
Lucy Electric,"Thame [UK]","36 kV / RMU",International,Breaker,International,51.74,-0.97
Ormazabal,"Igorre [ESP]","36 kV / GIS",International,Breaker,International,43.13,-2.77
Wilson Transformer,"Wodonga [AUS]","220 kV / Power",International,Transformer,International,-36.12,146.88
Fortune Electric,"Chung-Li [TWN]","500 kV / Power",International,Transformer,International,24.96,121.22
Crompton Greaves,"Bhopal [IN]","765 kV / EHV",International,Transformer,International,23.25,77.41
Ayr Service,"Houston, TX [USA]","Field / Mobile",Regional,Transformer,North America,29.80,-95.40
Prolec GE,"Shreveport, LA","Network / 5 MVA",Global,Transformer,North America,32.51,-93.75
Siemens Energy,"Guanajuato [MEX]","500 kV / 300+ MVA",Global,Transformer,North America,21.01,-101.25
Hitachi Energy,"Jefferson City, MO","Dist / Padmount",Global,Transformer,North America,38.58,-92.18
Virginia Transformer,"Pocatello (Dry)","7 MVA / 35 kV",Regional,Transformer,North America,42.88,-112.45
