index,Manufacturer,Location,Capability,OEM Class,Category,Region
37,TBEA,"Shenyang [CHN]",1200 kV / Ultra HV,International,Transformer,International
38,JSHP Transformer,"Changzhou [CHN]",500 kV / 500 MVA,International,Transformer,International
39,Toshiba,"Hamakita [JPN]",800 kV / GIS,Global,Breaker,International
40,Hitachi Energy,"Ludvika [SWE]",1100 kV / HVDC,Global,Transformer,International
41,Siemens Energy,"Nuremberg [GER]",800 kV / EHV Power,Global,Transformer,International
42,Schneider Electric,"Grenoble [FRA]",145 kV / GIS,Global,Breaker,International
43,ABB,"Bad Honnef [GER]",400 kV / 500 MVA,Global,Transformer,International
44,Iljin Electric,"Hwaseong [KOR]",550 kV / GIS,International,Breaker,International
45,LS Electric,"Cheonan [KOR]",800 kV / GIS,International,Breaker,International
46,Siemens Energy,"Jinan [CHN]",500 kV / 300 MVA,Global,Transformer,International
47,Hitachi Energy,"Belo Horizonte [BRA]",500 kV / Power,Global,Transformer,International
48,GE Vernova,"Sesto San Giovanni [ITA]",420 kV / GIS,Global,Breaker,International
49,Mitsubishi Electric,"Ako [JPN]",500 kV / Power,Global,Transformer,International
50,Siemens Energy,"Noreland [AUT]",400 kV / Transformer,Global,Transformer,International
51,Ayr Partner,"Pune [IN]",220 kV / Distribution,International,Transformer,International
52,Ayr Partner,"Kolkata [IN]",132 kV / Power,International,Transformer,International
53,Ayr Partner,"Bangalore [IN]",400 kV / GIS,International,Breaker,International
54,Hitachi Energy,"Hanoi [VNM]",220 kV / Power,Global,Transformer,International
55,Siemens Energy,"Bogota [COL]",220 kV / Power,Global,Transformer,International
56,ABB,"Cordoba [ARG]",132 kV / Power,Global,Transformer,International
57,WEG,"Jaragu\'e1 do Sul [BRA]",500 kV / 500 MVA,Regional,Transformer,International
58,Delta Star,"Auburn, IN [USA]",138 kV / Power,Regional,Transformer,North America
59,Virginia Transformer,"Monterrey [MEX]",525 kV / 300 MVA,Regional,Transformer,North America
60,Hitachi Energy,"Jefferson City, MO [USA]",MV / Distribution,Global,Transformer,North America
61,Prolec GE,"Shreveport, LA [USA]",Network / 5 MVA,Global,Transformer,North America
62,Eaton,"Greenwood, SC [USA]",38 kV / Switchgear,Global,Breaker,North America
63,Eaton,"Waukesha, WI [USA]",35 kV / Distribution,Global,Transformer,North America
64,Schneider Electric,"Hopkinsville, KY [USA]",MV / Switchgear,Global,Breaker,North America
65,Powell Industries,"Houston, TX [USA]",38 kV / Switchgear,Regional,Breaker,North America
66,Myers Power Products,"Ontario, CA [USA]",MV / Switchgear,Regional,Breaker,North America
67,Tavrida Electric,"Tallinn [EST]",38 kV / Reclosers,International,Breaker,International
68,Lucy Electric,"Thame [UK]",36 kV / Ring Main,International,Breaker,International
69,Ormazabal,"Igurre [ESP]",36 kV / GIS,International,Breaker,International
70,Wilson Transformer,"Wodonga [AUS]",220 kV / Power,International,Transformer,International
71,Fortune Electric,"Chung-Li [TWN]",500 kV / Power,International,Transformer,International
72,Crompton Greaves,"Bhopal [IN]",765 kV / EHV,International,Transformer,International
73,Ayr Service Center,"Houston, TX [USA]",Field Service / Mobile,Regional,Transformer,North Americ
